profession,total_performances,unique_players,avg_target_dps,max_target_dps,avg_all_damage,max_all_damage
Berserker,55,32,2315.1272727272726,6357,2689784.727272727,18632182
Weaver,25,5,2279.76,3767,7504385.48,15298404
Warrior,25,9,1976.08,6705,2784911.44,12411384
Holosmith,32,22,1864.0,5183,3561894.75,9340571
Untamed,35,17,1783.9714285714285,4440,4001653.0857142857,13866996
Catalyst,98,37,1739.295918367347,5388,2716881.897959184,13368783
Daredevil,1,1,1572.0,1572,217443.0,217443
Dragonhunter,89,32,1428.808988764045,4954,3416832.5168539328,12573278
Guardian,5,3,1295.4,2661,749268.6,2036038
Vindicator,49,25,1175.6734693877552,5233,3210356.5102040814,14575099
Reaper,96,57,1150.0416666666667,4307,2369589.2604166665,8302451
Renegade,6,6,1144.6666666666667,2107,1618357.3333333333,6279299
Willbender,11,5,1057.3636363636363,3644,687233.0,1845230
Spellbreaker,100,46,984.76,5851,1567388.24,8026788
Soulbeast,12,9,945.0833333333334,2837,1696048.75,8630754
Scourge,149,66,794.9798657718121,2330,2111894.5838926174,8132564
Necromancer,3,3,607.6666666666666,888,803855.6666666666,1452243
Virtuoso,10,9,559.7,1164,613715.2,2945084
Firebrand,173,71,544.8612716763006,1947,1485688.0809248555,5731590
Ranger,3,3,513.0,626,369220.6666666667,490839
Engineer,2,2,513.0,597,512407.0,783932
Mirage,9,7,470.0,943,703679.5555555555,4467011
Herald,13,13,414.38461538461536,1797,448157.6923076923,1805719
Harbinger,5,5,376.8,475,241715.2,404382
Mechanist,2,2,355.0,394,379081.5,492684
Tempest,52,34,327.84615384615387,3481,562965.75,11835334
Bladesworn,1,1,324.0,324,289544.0,289544
Scrapper,21,17,282.6666666666667,1877,356219.5238095238,2924783
Thief,2,2,271.0,396,669813.5,1137780
Specter,17,16,121.70588235294117,263,259858.76470588235,984193
Chronomancer,170,69,110.9,1783,244512.11764705883,1533842
Mesmer,1,1,51.0,51,3842.0,3842
Druid,148,51,39.7972972972973,134,112230.52027027027,457052
